record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,how_sent,number_welcome_packet,materials___1,materials___2,welcome_date,welcome_packet_complete,datecall,timecall,phone1confirm,phone2confirm,callresult,receive_mail,receive_email,flyer,flyernow,findflyer,linkflyer___1,linkflyer___2,linkflyer___3,linkflyer___4,linkflyer___5,email_sent,infosheetsquestions,interested,callback_later,description,studyquestions,sd_early_yn,waitlist_stay_yn,participateyn,noparticipatefdbk,final_email1_adj_type,final_email2_adj_type,final_phone1_adj_type,final_phone2_adj_type,text_message_number,preferredcontact_r___1,preferredcontact_r___2,preferredcontact_r___3,preferredcontact_r___4,preferredcontact_r___5,notokay_r___1,notokay_r___2,notokay_r___3,shortsurveydate,shortsurveytime,consent_caps_recording,caps_date,caps_time,caps_rater,capsrater_blinded,textconfirm_yn,spouse_rec,spouse_now,followup_needed,datefollowup,timefollowup,recruitment_call_complete
7a12b68f0931854473f379cb441ff9df,enrollment_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a12b68f0931854473f379cb441ff9df,enrollment_arm_1,welcome_packet,1,1,1,1,1,7/10/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a12b68f0931854473f379cb441ff9df,enrollment_arm_1,welcome_packet,2,1,2,1,1,7/19/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a12b68f0931854473f379cb441ff9df,enrollment_arm_1,recruitment_call,1,,,,,,,7/19/2023,11:00,1,,6,1,,1,,,0,0,0,0,0,,0,1,,1,0,1,1,1,,,,,,1,0,0,0,1,0,0,0,0,7/23/2023,12:00,1,7/24/2023,13:00,1,1,1,,,0,,,2
7a12b68f0931854473f379cb441ff9df,enrollment_arm_1,recruitment_call,2,,,,,,,9/4/2023,15:04,,,6,1,,1,,,0,0,0,0,0,,0,1,,1,0,1,1,1,,5,,,,1,0,1,0,0,0,0,0,0,9/4/2023,15:23,1,9/10/2023,12:00,1,1,0,,,0,,,0
8108ea125fb5afbade1343c788e49e83,t1_screeningcaps_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8108ea125fb5afbade1343c788e49e83,t1_preparation_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8108ea125fb5afbade1343c788e49e83,t1_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8108ea125fb5afbade1343c788e49e83,t2_preparation_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8108ea125fb5afbade1343c788e49e83,t2_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8108ea125fb5afbade1343c788e49e83,t3_preparation_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8108ea125fb5afbade1343c788e49e83,t3_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8108ea125fb5afbade1343c788e49e83,t4_preparation_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8108ea125fb5afbade1343c788e49e83,t4_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8108ea125fb5afbade1343c788e49e83,t6_preparation_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6c560a5237aac7b3476b2af65dec0b,t1_screeningcaps_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6c560a5237aac7b3476b2af65dec0b,t1_preparation_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6c560a5237aac7b3476b2af65dec0b,t1_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6c560a5237aac7b3476b2af65dec0b,t1_closeout_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6c560a5237aac7b3476b2af65dec0b,t2_preparation_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6c560a5237aac7b3476b2af65dec0b,t2_closeout_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6c560a5237aac7b3476b2af65dec0b,t3_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6c560a5237aac7b3476b2af65dec0b,t4_preparation_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6c560a5237aac7b3476b2af65dec0b,t4_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6c560a5237aac7b3476b2af65dec0b,t6_preparation_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf77a02d3c1919db85ad3d93a4cc82a5,t1_screeningcaps_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf77a02d3c1919db85ad3d93a4cc82a5,t1_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf77a02d3c1919db85ad3d93a4cc82a5,t1_closeout_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d83470275e4577c8e36a0491afe1abbb,t1_screeningcaps_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d83470275e4577c8e36a0491afe1abbb,t1_preparation_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d83470275e4577c8e36a0491afe1abbb,t1_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d83470275e4577c8e36a0491afe1abbb,t2_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d83470275e4577c8e36a0491afe1abbb,t3_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d83470275e4577c8e36a0491afe1abbb,t4_preparation_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d83470275e4577c8e36a0491afe1abbb,t4_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d83470275e4577c8e36a0491afe1abbb,t5_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ed683f4f36d95b08d1c91993becc477,t1_screeningcaps_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ed683f4f36d95b08d1c91993becc477,t3_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ed683f4f36d95b08d1c91993becc477,t4_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f309f0ca40e66755fd9422e007b7c62f,t1_screeningcaps_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f309f0ca40e66755fd9422e007b7c62f,t3_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f309f0ca40e66755fd9422e007b7c62f,t4_study_period_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f581bcf32cc2f23bf61b389d50236895,enrollment_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f581bcf32cc2f23bf61b389d50236895,enrollment_arm_1,welcome_packet,1,1,1,1,1,2/7/2024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f581bcf32cc2f23bf61b389d50236895,enrollment_arm_1,recruitment_call,1,,,,,,,2/7/2024,16:15,1,,6,1,,1,,,0,0,0,0,0,,0,1,,1,1,1,1,1,,,,,,1,0,1,1,0,0,0,0,0,2/8/2024,9:00,1,2/12/2024,10:00,1,1,1,,,,,,0
